mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
de:37:be:ce:b0:96,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00011101100001101001011110000000,S21Ultra_M
de:37:be:ce:b0:96,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,01100100011000001010010000110011,S21Ultra_M
de:37:be:ce:b0:96,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11111010101001011001001111010111,S21Ultra_M
de:37:be:ce:b0:96,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11100110110101011011001001100011,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,10001001111101011010100010100100,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,01000011110110011000110110101010,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,10010101001110110101101111010010,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,01011111000101110111111011011100,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11110101000100011111110010110100,S21Ultra_M
be:5a:ac:0d:d9:5b,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11101001011000011101110100000000,S21Ultra_M
7a:17:6d:d8:55:fc,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00110101100000110111010111111101,S21Ultra_M
7a:17:6d:d8:55:fc,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00111010010010111100001011010100,S21Ultra_M
7a:17:6d:d8:55:fc,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11110000011001111110011111011010,S21Ultra_M
7a:17:6d:d8:55:fc,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00101101100101000001000001100010,S21Ultra_M
7a:17:6d:d8:55:fc,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00110001111001000011000111010110,S21Ultra_M
8e:63:65:40:f5:da,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,01101110101110000011001011111010,S21Ultra_M
8e:63:65:40:f5:da,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,00010111010111100000000101001001,S21Ultra_M
8e:63:65:40:f5:da,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,11010010101110101001001101101110,S21Ultra_M
8e:63:65:40:f5:da,00000000,00000000,,00000001,00000100,10000010100001001000101110010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000000000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001010,00000100000000000100100010000000000000010100000000000000010000000000000000100001,11011101,00001010,00000000100100000100110000000100000010001011111100001100011101100111100010010001000011111111101011111111000000000000000011111010111111110000000000100000110111010000011100000000010100001111001000001000000000000001001000000000110111010000101000000000000100000001100000000010000000000000000000010000000000000000000000000000110111010000101001010000011011111001101000010110000000110000000100000010011001010000000100000001,11111111,00011100,00100011000000010000100000001000000110000000000010000000001000000011000000000010100000000000110100000001100111100000000000001100000000000000000011110101111111111111010111111111001110010001110011000111011100010001110000000111,10101011010111001010000011011101,S21Ultra_M
